Date,Open,High,Low,Close,Adj Close,Volume
01/01/2014,54.830002,63.369999,51.849998,62.57,62.503681,1294714800
01/02/2014,63.029999,71.440002,60.700001,68.459999,68.387436,1110774100
01/03/2014,66.959999,72.589996,57.98,60.240002,60.176155,1255440000
01/04/2014,60.459999,63.91,54.66,59.779999,59.71664,1883965100
01/05/2014,60.43,64.300003,56.259998,63.299999,63.232906,1120155500
01/06/2014,63.23,68,61.790001,67.290001,67.218681,863389800
01/07/2014,67.580002,76.739998,62.209999,72.650002,72.572998,1028365000
01/08/2014,72.220001,75.989998,71.550003,74.82,74.7407,590763600
01/09/2014,75.010002,79.709999,73.07,79.040001,78.95623,720995800
01/10/2014,78.779999,81.160004,70.32,74.989998,74.910515,1083643000
01/11/2014,75.470001,78.269997,72.510002,77.699997,77.617645,490965300
01/12/2014,77.260002,82.169998,74.400002,78.019997,77.937302,534527100
01/01/2015,78.580002,79.25,73.540001,75.910004,75.829544,546210700
01/02/2015,76.110001,81.370003,73.449997,78.970001,78.886299,475148700
01/03/2015,79,86.07,77.260002,82.220001,82.132858,575349900
01/04/2015,82.5,85.589996,78.32,78.769997,78.686508,542124600
01/05/2015,79.239998,81.849998,76.790001,79.190002,79.106071,421870700
01/06/2015,79.300003,89.400002,78.660004,85.769997,85.679092,537740300
01/07/2015,86.769997,99.239998,85.230003,94.010002,93.910362,790781000
01/08/2015,93.529999,98.739998,72,89.43,89.335213,709884600
01/09/2015,86.849998,96.489998,85.720001,89.900002,89.804718,635399800
01/10/2015,90.050003,105.120003,88.360001,101.970001,101.861923,571590400
01/11/2015,101.720001,110.650002,100.470001,104.239998,104.129517,547232800
01/12/2015,104.830002,107.919998,101.459999,104.660004,104.549072,440304100
01/01/2016,101.949997,112.839996,89.370003,112.209999,112.091072,792709100
01/02/2016,112.269997,117.589996,96.82,106.919998,106.806671,874152500
01/03/2016,107.830002,116.989998,104.400002,114.099998,113.979065,521458900
01/04/2016,113.75,120.790001,106.309998,117.580002,117.455383,741613800
01/05/2016,117.830002,121.080002,115.879997,118.809998,118.684074,460544200
01/06/2016,118.5,119.440002,108.230003,114.279999,114.158875,450876100
01/07/2016,114.199997,128.330002,112.970001,123.940002,123.80864,470108600
01/08/2016,123.849998,126.730003,122.07,126.120003,125.986328,365670900
01/09/2016,126.379997,131.979996,125.599998,128.270004,128.134048,376518100
01/10/2016,128.380005,133.5,126.75,130.990005,130.851166,313284400
01/11/2016,131.410004,131.940002,113.550003,118.419998,118.294487,644052900
01/12/2016,118.379997,122.5,114,115.050003,114.928062,408728400
01/01/2017,116.029999,133.139999,115.510002,130.320007,130.181885,378958900
01/02/2017,132.25,137.179993,130.300003,135.539993,135.396332,384700500
01/03/2017,136.470001,142.949997,136.080002,142.050003,141.899445,342098600
01/04/2017,141.929993,151.529999,138.809998,150.25,150.090744,275586300
01/05/2017,151.740005,153.600006,144.419998,151.460007,151.299469,403586900
01/06/2017,151.75,156.5,144.559998,150.979996,150.819977,414757100
01/07/2017,151.720001,175.490005,147.800003,169.25,169.070618,419907600
01/08/2017,169.820007,173.050003,165,171.970001,171.787735,303622800
01/09/2017,172.399994,174,161.559998,170.869995,170.688889,304818300
01/10/2017,171.389999,180.800003,168.289993,180.059998,179.869156,318146600
01/11/2017,182.360001,184.25,174,177.179993,176.992203,350998700
01/12/2017,176.029999,182.279999,169.009995,176.460007,176.27298,317095800
01/01/2018,177.679993,190.660004,175.800003,186.889999,186.69191,495655700
01/02/2018,188.220001,195.320007,167.179993,178.320007,178.131012,516251600
01/03/2018,179.009995,186.100006,149.020004,159.789993,159.620636,996201700
01/04/2018,157.809998,177.100006,150.509995,172,171.817703,750072700
01/05/2018,172,192.720001,170.229996,191.779999,191.576736,401144100
01/06/2018,193.070007,203.550003,186.429993,194.320007,194.114044,387265600
01/07/2018,193.369995,218.619995,166.559998,172.580002,172.397079,647030700
01/08/2018,173.929993,188.300003,170.270004,175.729996,175.543747,548832700
01/09/2018,173.5,173.889999,158.869995,164.460007,164.28569,500468800
01/10/2018,163.029999,165.880005,139.029999,151.789993,151.62912,622446300
01/11/2018,151.520004,154.130005,126.849998,140.610001,140.460968,518151700
01/12/2018,143,147.190002,123.019997,131.089996,130.95105,558786200
01/01/2019,128.990005,171.679993,128.559998,166.690002,166.513336,527547900
01/02/2019,165.839996,172.470001,159.589996,161.449997,161.278885,302243200
01/03/2019,162.600006,174.300003,159.279999,166.690002,166.513336,387936100
01/04/2019,167.830002,198.479996,167.279999,193.399994,193.195007,381985300
01/05/2019,194.779999,196.179993,177.160004,177.470001,177.281906,286821500
01/06/2019,175,198.880005,160.839996,193,192.795441,426428600
01/07/2019,195.210007,208.660004,191.929993,194.229996,194.024139,351020900
01/08/2019,194.169998,198.470001,176.660004,185.669998,185.473206,294689500
01/09/2019,184,193.100006,175.660004,178.080002,177.891251,264538500
01/10/2019,179.149994,198.089996,173.089996,191.649994,191.446869,326207200
01/11/2019,192.850006,203.800003,188.539993,201.639999,201.426285,258303900
01/12/2019,202.130005,208.929993,193.169998,205.25,205.032455,276257100
01/01/2020,206.75,224.199997,201.059998,201.910004,201.695999,347314600
01/02/2020,203.440002,218.770004,181.820007,192.470001,192.266006,317547300
01/03/2020,194.029999,197.240005,137.100006,166.800003,166.623215,649467700
01/04/2020,161.619995,209.690002,150.830002,204.710007,204.493042,541334600
01/05/2020,201.600006,240.899994,198.759995,225.089996,224.851425,509476500
01/06/2020,224.589996,245.190002,207.110001,227.070007,226.829346,548043800
01/07/2020,228.5,255.850006,226.899994,253.669998,253.401138,517599700
01/08/2020,252.649994,304.670013,247.429993,293.200012,292.889252,574239100
01/09/2020,294.709991,303.600006,244.130005,261.899994,261.622406,499115300
01/10/2020,265.350006,285.23999,254.820007,263.109985,262.831116,454101600
01/11/2020,264.600006,297.380005,257.339996,276.970001,276.676453,356771600
01/12/2020,279.160004,291.779999,264.630005,273.160004,272.870483,363901000
01/01/2021,274.779999,286.790009,244.610001,258.329987,258.056183,452633100
01/02/2021,259.519989,276.600006,254.039993,257.619995,257.346954,317775200
01/03/2021,260.820007,299.709991,253.5,294.529999,294.217834,497416700
01/04/2021,298.399994,331.809998,296.040009,325.079987,324.735443,421257700
01/05/2021,326.170013,333.779999,298.190002,328.730011,328.381592,353423700
01/06/2021,330.149994,358.140015,323.480011,347.709991,347.341461,344810400
01/07/2021,346.820007,377.549988,334.5,356.299988,355.922363,335420300
01/08/2021,358.100006,382.76001,347.700012,379.380005,378.977905,226132300
01/09/2021,379.589996,384.329987,338.149994,339.390015,339.030304,338121800
01/10/2021,341.609985,345.019989,308.109985,323.570007,323.227051,588382500
01/11/2021,326.040009,353.829987,323.200012,324.459991,324.116089,441125000
01/12/2021,330.290009,352.709991,299.5,336.350006,335.9935,438246900
01/01/2022,338.299988,343.089996,289.01001,313.26001,312.927979,427237300
01/02/2022,314.559998,328,190.220001,211.029999,210.806335,1128039600
01/03/2022,209.869995,231.149994,185.820007,222.360001,222.124329,733274500
01/04/2022,224.550003,236.860001,169,200.470001,200.257523,672255000
01/05/2022,201.169998,224.300003,176.110001,193.639999,193.434769,680548800
01/06/2022,196.509995,202.029999,154.25,161.25,161.079086,685975600
01/07/2022,160.309998,183.850006,154.850006,159.100006,158.931381,586482400
01/08/2022,157.25,183.100006,155.229996,162.929993,162.757309,551922900
01/09/2022,163.580002,171.389999,134.119995,135.679993,135.536194,635014800
01/10/2022,137.139999,142.389999,92.599998,93.160004,93.061264,1107662200
01/11/2022,94.330002,118.739998,88.089996,118.099998,117.974823,1063791200
01/12/2022,119.199997,124.669998,112.459999,120.339996,120.212448,653019800
01/01/2023,122.82,153.190002,122.279999,148.970001,148.812103,548770600
01/02/2023,148.029999,197.160004,147.059998,174.940002,174.754593,772170900
01/03/2023,174.589996,212.169998,171.429993,211.940002,211.715363,690053000
01/04/2023,208.839996,241.690002,207.130005,240.320007,240.065292,446687900
01/05/2023,238.619995,268.649994,229.850006,264.720001,264.439423,486968500
01/06/2023,265.899994,289.790009,258.880005,286.980011,286.675842,480979900
01/07/2023,286.700012,326.200012,284.850006,318.600006,318.262329,624605100
01/08/2023,317.540009,324.140015,274.380005,295.890015,295.576416,423147800
01/09/2023,299.369995,312.869995,286.790009,300.209991,299.891815,406686600
01/10/2023,302.73999,330.540009,279.399994,301.269989,300.950684,511307900
01/11/2023,301.850006,342.920013,301.850006,327.149994,326.803253,329270500
01/12/2023,325.480011,361.899994,313.660004,353.959991,353.584839,332813800
